ภูมิภาคอย่างเป็นทางการ,All,,,
50190,1,เชียงใหม่,,
50200,1,เชียงใหม่,,
50210,1,เชียงใหม่,,
50220,1,เชียงใหม่,,
50230,1,เชียงใหม่,,
50240,1,เชียงใหม่,,
50250,1,เชียงใหม่,,
50260,1,เชียงใหม่,,
50270,1,เชียงใหม่,,
50280,1,เชียงใหม่,,
50290,1,เชียงใหม่,,
50300,1,เชียงใหม่,,
50310,1,เชียงใหม่,,
50320,1,เชียงใหม่,,
50330,1,เชียงใหม่,,
50340,1,เชียงใหม่,,
50350,1,เชียงใหม่,,
50360,1,เชียงใหม่,,
51000,1,ลำพูน,,
51110,1,ลำพูน,,
51120,1,ลำพูน,,
51130,1,ลำพูน,,
51140,1,ลำพูน,,
51150,1,ลำพูน,,
51160,1,ลำพูน,,
51170,1,ลำพูน,,
51180,1,ลำพูน,,
52000,1,ลำปาง,,
52100,1,ลำปาง,,
52110,1,ลำปาง,,
52120,1,ลำปาง,,
52130,1,ลำปาง,,
52140,1,ลำปาง,,
52150,1,ลำปาง,,
52160,1,ลำปาง,,
52170,1,ลำปาง,,
52180,1,ลำปาง,,
52190,1,ลำปาง,,
52210,1,ลำปาง,,
52220,1,ลำปาง,,
52230,1,ลำปาง,,
52240,1,ลำปาง,,
53000,1,อุตรดิตถ์,,
53110,1,อุตรดิตถ์,,
53120,1,อุตรดิตถ์,,
53130,1,อุตรดิตถ์,,
53140,1,อุตรดิตถ์,,
53150,1,อุตรดิตถ์,,
53160,1,อุตรดิตถ์,,
53170,1,อุตรดิตถ์,,
53180,1,อุตรดิตถ์,,
53190,1,อุตรดิตถ์,,
53210,1,อุตรดิตถ์,,
53220,1,อุตรดิตถ์,,
53230,1,อุตรดิตถ์,,
54000,1,แพร่,,
54110,1,แพร่,,
54120,1,แพร่,,
54130,1,แพร่,,
54140,1,แพร่,,
54150,1,แพร่,,
54160,1,แพร่,,
54170,1,แพร่,,
55000,1,น่าน,,
55110,1,น่าน,,
55120,1,น่าน,,
55130,1,น่าน,,
55140,1,น่าน,,
55150,1,น่าน,,
55160,1,น่าน,,
55170,1,น่าน,,
55180,1,น่าน,,
55190,1,น่าน,,
55210,1,น่าน,,
55220,1,น่าน,,
56000,1,พะเยา,,
56110,1,พะเยา,,
56120,1,พะเยา,,
56130,1,พะเยา,,
56140,1,พะเยา,,
56150,1,พะเยา,,
56160,1,พะเยา,,
57000,1,เชียงราย,,
57100,1,เชียงราย,,
57110,1,เชียงราย,,
57120,1,เชียงราย,,
57130,1,เชียงราย,,
57140,1,เชียงราย,,
57150,1,เชียงราย,,
57160,1,เชียงราย,,
57170,1,เชียงราย,,
57180,1,เชียงราย,,
57190,1,เชียงราย,,
57210,1,เชียงราย,,
57220,1,เชียงราย,,
57230,1,เชียงราย,,
57240,1,เชียงราย,,
57250,1,เชียงราย,,
57260,1,เชียงราย,,
57270,1,เชียงราย,,
57280,1,เชียงราย,,
57290,1,เชียงราย,,
57310,1,เชียงราย,,
57340,1,เชียงราย,,
58000,1,แม่ฮ่องสอน,,
58110,1,แม่ฮ่องสอน,,
58120,1,แม่ฮ่องสอน,,
58130,2,เชียงใหม่ / แม่ฮ่องสอน,,
58140,1,แม่ฮ่องสอน,,
58150,1,แม่ฮ่องสอน,,
60000,1,นครสวรรค์,,
60110,1,นครสวรรค์,,
60120,1,นครสวรรค์,,
60130,1,นครสวรรค์,,
60140,1,นครสวรรค์,,
60150,1,นครสวรรค์,,
60160,1,นครสวรรค์,,
60170,1,นครสวรรค์,,
60180,1,นครสวรรค์,,
60190,1,นครสวรรค์,,
60210,1,นครสวรรค์,,
60220,1,นครสวรรค์,,
60230,1,นครสวรรค์,,
60240,1,นครสวรรค์,,
60250,1,นครสวรรค์,,
60260,1,นครสวรรค์,,
61000,1,อุทัยธานี,,
61110,1,อุทัยธานี,,
61120,1,อุทัยธานี,,
61130,1,อุทัยธานี,,
61140,1,อุทัยธานี,,
61150,1,อุทัยธานี,,
61160,1,อุทัยธานี,,
61170,1,อุทัยธานี,,
61180,1,อุทัยธานี,,
62000,1,กำแพงเพชร,,
62110,1,กำแพงเพชร,,
62120,1,กำแพงเพชร,,
62130,1,กำแพงเพชร,,
62140,1,กำแพงเพชร,,
62150,1,กำแพงเพชร,,
62160,1,กำแพงเพชร,,
62170,1,กำแพงเพชร,,
62180,1,กำแพงเพชร,,
62190,1,กำแพงเพชร,,
62210,1,กำแพงเพชร,,
63000,1,ตาก,,
63110,1,ตาก,,
63120,1,ตาก,,
63130,1,ตาก,,
63140,1,ตาก,,
63150,1,ตาก,,
63160,1,ตาก,,
63170,1,ตาก,,
63180,1,ตาก,,
64000,1,สุโขทัย,,
64110,1,สุโขทัย,,
64120,1,สุโขทัย,,
64130,1,สุโขทัย,,
64140,1,สุโขทัย,,
64150,1,สุโขทัย,,
64160,1,สุโขทัย,,
64170,1,สุโขทัย,,
64180,1,สุโขทัย,,
64190,1,สุโขทัย,,
64210,1,สุโขทัย,,
64220,1,สุโขทัย,,
64230,1,สุโขทัย,,
65000,1,พิษณุโลก,,
65110,1,พิษณุโลก,,
65120,1,พิษณุโลก,,
65130,1,พิษณุโลก,,
65140,1,พิษณุโลก,,
65150,1,พิษณุโลก,,
65160,1,พิษณุโลก,,
65170,1,พิษณุโลก,,
65180,1,พิษณุโลก,,
65190,1,พิษณุโลก,,
65210,1,พิษณุโลก,,
65220,1,พิษณุโลก,,
65230,1,พิษณุโลก,,
65240,1,พิษณุโลก,,
66000,1,พิจิตร,,
66110,1,พิจิตร,,
66120,1,พิจิตร,,
66130,1,พิจิตร,,
66140,1,พิจิตร,,
66150,1,พิจิตร,,
66160,1,พิจิตร,,
66170,1,พิจิตร,,
66180,1,พิจิตร,,
66190,1,พิจิตร,,
66210,1,พิจิตร,,
66220,1,พิจิตร,,
66230,1,พิจิตร,,
67000,1,เพชรบูรณ์,,
67110,1,เพชรบูรณ์,,
67120,1,เพชรบูรณ์,,
67130,1,เพชรบูรณ์,,
67140,1,เพชรบูรณ์,,
67150,1,เพชรบูรณ์,,
67160,1,เพชรบูรณ์,,
67170,1,เพชรบูรณ์,,
67180,1,เพชรบูรณ์,,
67190,1,เพชรบูรณ์,,
67210,1,เพชรบูรณ์,,
67220,1,เพชรบูรณ์,,
67230,1,เพชรบูรณ์,,
67240,1,เพชรบูรณ์,,
67250,1,เพชรบูรณ์,,
67260,1,เพชรบูรณ์,,
67270,1,เพชรบูรณ์,,
67280,1,เพชรบูรณ์,,
70000,1,ราชบุรี,,
70110,1,ราชบุรี,,
70120,1,ราชบุรี,,
70130,1,ราชบุรี,,
70140,1,ราชบุรี,,
70150,1,ราชบุรี,,
70160,1,ราชบุรี,,
70170,1,ราชบุรี,,
70180,1,ราชบุรี,,
70190,2,กาญจนบุรี / ราชบุรี,,
70210,2,ราชบุรี / สมุทรสาคร,,
71000,1,กาญจนบุรี,,
71110,1,กาญจนบุรี,,
71120,1,กาญจนบุรี,,
71130,1,กาญจนบุรี,,
71140,1,กาญจนบุรี,,
71150,1,กาญจนบุรี,,
71160,1,กาญจนบุรี,,
71170,2,กาญจนบุรี / สุพรรณบุรี,,
71180,1,กาญจนบุรี,,
71190,1,กาญจนบุรี,,
71210,1,กาญจนบุรี,,
71220,1,กาญจนบุรี,,
71240,1,กาญจนบุรี,,
71250,1,กาญจนบุรี,,
71260,1,กาญจนบุรี,,
72000,1,สุพรรณบุรี,,
72110,1,สุพรรณบุรี,,
72120,1,สุพรรณบุรี,,
72130,1,สุพรรณบุรี,,
72140,1,สุพรรณบุรี,,
72150,1,สุพรรณบุรี,,
72160,1,สุพรรณบุรี,,
72170,1,สุพรรณบุรี,,
72180,1,สุพรรณบุรี,,
72190,1,สุพรรณบุรี,,
72210,1,สุพรรณบุรี,,
72220,1,สุพรรณบุรี,,
72230,1,สุพรรณบุรี,,
72240,1,สุพรรณบุรี,,
72250,1,สุพรรณบุรี,,
73000,1,นครปฐม,,
73110,1,นครปฐม,,
73120,1,นครปฐม,,
73130,1,นครปฐม,,
73140,1,นครปฐม,,
73150,1,นครปฐม,,
73160,1,นครปฐม,,
73170,1,นครปฐม,,
73180,1,นครปฐม,,
73190,1,นครปฐม,,
73210,1,นครปฐม,,
73220,1,นครปฐม,,
74000,1,สมุทรสาคร,,
74110,1,สมุทรสาคร,,
74120,1,สมุทรสาคร,,
74130,1,สมุทรสาคร,,
75000,1,สมุทรสงคราม,,
75110,1,สมุทรสงคราม,,
75120,1,สมุทรสงคราม,,
76000,1,เพชรบุรี,,
76100,1,เพชรบุรี,,
76110,1,เพชรบุรี,,
76120,1,เพชรบุรี,,
76130,1,เพชรบุรี,,
76140,1,เพชรบุรี,,
76150,1,เพชรบุรี,,
76160,1,เพชรบุรี,,
76170,1,เพชรบุรี,,
77000,1,ประจวบคีรีขันธ์,,
77110,1,ประจวบคีรีขันธ์,,
77120,1,ประจวบคีรีขันธ์,,
77130,1,ประจวบคีรีขันธ์,,
77140,1,ประจวบคีรีขันธ์,,
77150,1,ประจวบคีรีขันธ์,,
77160,1,ประจวบคีรีขันธ์,,
77170,1,ประจวบคีรีขันธ์,,
77180,1,ประจวบคีรีขันธ์,,
77190,1,ประจวบคีรีขันธ์,,
77210,1,ประจวบคีรีขันธ์,,
77220,1,ประจวบคีรีขันธ์,,
77230,1,ประจวบคีรีขันธ์,,
80000,1,นครศรีธรรมราช,,
80110,1,นครศรีธรรมราช,,
80120,1,นครศรีธรรมราช,,
80130,1,นครศรีธรรมราช,,
80140,1,นครศรีธรรมราช,,
80150,1,นครศรีธรรมราช,,
80160,1,นครศรีธรรมราช,,
80170,1,นครศรีธรรมราช,,
80180,1,นครศรีธรรมราช,,
80190,1,นครศรีธรรมราช,,
80210,1,นครศรีธรรมราช,,
80220,1,นครศรีธรรมราช,,
80230,1,นครศรีธรรมราช,,
80240,2,กระบี่ / นครศรีธรรมราช,,
80250,1,นครศรีธรรมราช,,
80260,1,นครศรีธรรมราช,,
80270,1,นครศรีธรรมราช,,
80280,1,นครศรีธรรมราช,,
80290,1,นครศรีธรรมราช,,
80310,1,นครศรีธรรมราช,,
80320,1,นครศรีธรรมราช,,
80330,1,นครศรีธรรมราช,,
80340,1,นครศรีธรรมราช,,
80350,1,นครศรีธรรมราช,,
80360,1,นครศรีธรรมราช,,
81000,1,กระบี่,,
81110,1,กระบี่,,
81120,1,กระบี่,,
81130,1,กระบี่,,
81140,1,กระบี่,,
81150,1,กระบี่,,
81160,1,กระบี่,,
81170,1,กระบี่,,
81190,1,กระบี่,,
82000,1,พังงา,,
82110,1,พังงา,,
82120,1,พังงา,,
82130,1,พังงา,,
82140,1,พังงา,,
82150,1,พังงา,,
82160,1,พังงา,,
82170,1,พังงา,,
82180,1,พังงา,,
82190,1,พังงา,,
82210,1,พังงา,,
83000,2,พังงา / ภูเก็ต,,
83100,1,ภูเก็ต,,
83110,1,ภูเก็ต,,
83120,1,ภูเก็ต,,
83130,1,ภูเก็ต,,
83150,1,ภูเก็ต,,
84000,1,สุราษฎร์ธานี,,
84100,1,สุราษฎร์ธานี,,
84110,1,สุราษฎร์ธานี,,
84120,1,สุราษฎร์ธานี,,
84130,1,สุราษฎร์ธานี,,
84140,1,สุราษฎร์ธานี,,
84150,1,สุราษฎร์ธานี,,
84160,1,สุราษฎร์ธานี,,
84170,1,สุราษฎร์ธานี,,
84180,1,สุราษฎร์ธานี,,
84190,1,สุราษฎร์ธานี,,
84210,1,สุราษฎร์ธานี,,
84220,1,สุราษฎร์ธานี,,
84230,1,สุราษฎร์ธานี,,
84240,1,สุราษฎร์ธานี,,
84250,1,สุราษฎร์ธานี,,
84260,1,สุราษฎร์ธานี,,
84270,1,สุราษฎร์ธานี,,
84280,1,สุราษฎร์ธานี,,
84290,1,สุราษฎร์ธานี,,
84310,1,สุราษฎร์ธานี,,
84320,1,สุราษฎร์ธานี,,
84330,1,สุราษฎร์ธานี,,
84340,1,สุราษฎร์ธานี,,
84350,1,สุราษฎร์ธานี,,
84360,1,สุราษฎร์ธานี,,
84370,1,สุราษฎร์ธานี,,
85000,1,ระนอง,,
85110,1,ระนอง,,
85120,1,ระนอง,,
85130,1,ระนอง,,
86000,1,ชุมพร,,
86100,1,ชุมพร,,
86110,1,ชุมพร,,
86120,1,ชุมพร,,
86130,1,ชุมพร,,
86140,1,ชุมพร,,
86150,1,ชุมพร,,
86160,1,ชุมพร,,
86170,1,ชุมพร,,
86180,1,ชุมพร,,
86190,1,ชุมพร,,
86210,1,ชุมพร,,
86220,1,ชุมพร,,
86230,1,ชุมพร,,
90000,1,สงขลา,,
90100,1,สงขลา,,
90110,1,สงขลา,,
90112,1,สงขลา,,
90115,1,สงขลา,,
90120,1,สงขลา,,
90130,1,สงขลา,,
90140,1,สงขลา,,
90150,1,สงขลา,,
90160,1,สงขลา,,
90170,1,สงขลา,,
90180,1,สงขลา,,
90190,1,สงขลา,,
90210,1,สงขลา,,
90220,1,สงขลา,,
90230,1,สงขลา,,
90240,1,สงขลา,,
90250,1,สงขลา,,
90260,1,สงขลา,,
90270,1,สงขลา,,
90280,1,สงขลา,,
90310,1,สงขลา,,
90320,1,สงขลา,,
90330,1,สงขลา,,
91000,1,สตูล,,
91110,1,สตูล,,
91120,1,สตูล,,
91130,1,สตูล,,
91140,1,สตูล,,
91150,1,สตูล,,
91160,1,สตูล,,
92000,1,ตรัง,,
92110,1,ตรัง,,
92120,1,ตรัง,,
92130,1,ตรัง,,
92140,1,ตรัง,,
92150,1,ตรัง,,
92160,1,ตรัง,,
92170,1,ตรัง,,
92180,1,ตรัง,,
92190,1,ตรัง,,
92210,1,ตรัง,,
92220,1,ตรัง,,
93000,1,พัทลุง,,
93110,1,พัทลุง,,
93120,1,พัทลุง,,
93130,1,พัทลุง,,
93140,1,พัทลุง,,
93150,1,พัทลุง,,
93160,1,พัทลุง,,
93170,1,พัทลุง,,
93180,1,พัทลุง,,
93190,1,พัทลุง,,
93210,1,พัทลุง,,
94000,1,ปัตตานี,,
94110,1,ปัตตานี,,
94120,1,ปัตตานี,,
94130,1,ปัตตานี,,
94140,1,ปัตตานี,,
94150,1,ปัตตานี,,
94160,1,ปัตตานี,,
94170,1,ปัตตานี,,
94180,1,ปัตตานี,,
94190,1,ปัตตานี,,
94220,1,ปัตตานี,,
94230,1,ปัตตานี,,
95000,1,ยะลา,,
95110,1,ยะลา,,
95120,1,ยะลา,,
95130,1,ยะลา,,
95140,1,ยะลา,,
95150,1,ยะลา,,
95160,1,ยะลา,,
95170,1,ยะลา,,
96000,1,นราธิวาส,,
96110,1,นราธิวาส,,
96120,1,นราธิวาส,,
96130,1,นราธิวาส,,
96140,1,นราธิวาส,,
96150,1,นราธิวาส,,
96160,1,นราธิวาส,,
96170,1,นราธิวาส,,
96180,1,นราธิวาส,,
96190,1,นราธิวาส,,
96210,1,นราธิวาส,,
96220,1,นราธิวาส,,
Grand Total,77,กระบี่ / กรุงเทพมหานคร / กาญจนบุรี / กาฬสินธุ์ / กำแพงเพชร / ขอนแก่น / จันทบุรี / ฉะเชิงเทรา / ชลบุรี / ชัยนาท / ชัยภูมิ / ชุมพร / เชียงราย / เชียงใหม่ / ตรัง / ตราด / ตาก / นครนายก / นครปฐม / นครพนม / นครราชสีมา / นครศรีธรรมราช / นครสวรรค์ / นนทบุรี / นราธิวาส / น่าน / บึงกาฬ / บุรีรัมย์ / ปทุมธานี / ประจวบคีรีขันธ์ / ปราจีนบุรี / ปัตตานี / พระนครศรีอยุธยา / พะเยา / พังงา / พัทลุง / พิจิตร / พิษณุโลก / เพชรบุรี / เพชรบูรณ์ / แพร่ / ภูเก็ต / มหาสารคาม / มุกดาหาร / แม่ฮ่องสอน / ยโสธร / ยะลา / ร้อยเอ็ด / ระนอง / ระยอง / ราชบุรี / ลพบุรี / ลำปาง / ลำพูน / เลย / ศรีสะเกษ / สกลนคร / สงขลา / สตูล / สมุทรปราการ / สมุทรสงคราม / สมุทรสาคร / สระแก้ว / สระบุรี / สิงห์บุรี / สุโขทัย / สุพรรณบุรี / สุราษฎร์ธานี / สุรินทร์ / หนองคาย / หนองบัวลำภู / อ่างทอง / อำนาจเจริญ / อุดรธานี / อุตรดิตถ์ / อุทัยธานี / อุบลราชธานี,,
